indicatorType,fileHashValue,emailSenderAddress,networkIPv4,url,domainName,FileCreatedDateTime,action,activityGroupNames,additionalInformation,confidence,description,expirationDateTime,externalId,indicatorProvider,killChain,malwareFamilyNames,severity,tags,targetProduct,threatType,tlpLevel
sha256,72B931B6CF769913F903CEED014197FB6A4D6A7B7EFA6604C002F4293FFD7EF1,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha1,14d2c799364d354fa4ed40d81e2ba999adc65522,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha1,2114e8248c11e3477a74c77ff73065f9fec4c4bb,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha1,394c130377213c8b138e3634d73cb683f1222173,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
sha1,36ee47614db069e5f456af2a2160b398b1d5bc1d,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
md5,82142131204334c2eb6835617a1ae785,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
md5,6e578fc7c17244d3ee76e9b8f974e971,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
md5,04965d71773df3b1283ddd3f5489774a,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
md5,aa57a2126701110a3e88c445e30c1051,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
md5,2214477ec18484f38286e473302c848c,,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Email,,sword@ashsalt.guru,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Email,,amercanexpress@hsamember.com,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Email,,d.changbao@behsacorp.com,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Email,,abdullahsaleh915@gmail.com,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Email,,suhsarenewik@outlook.com,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Email,,kthsargeay@outlook.com,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
Email,,mahsadavid9040@icloud.com,,,,,alert,,,<set in app>,An attacker used a brute force attack,<set in app>,,<set in app>,,,0,,Azure Sentinel,Botnet,white
